relative_time,BarometerSensor
0,1005.3961181640625
25,1005.3961181640625
93,1005.3961181640625
160,1005.3961181640625
225,1005.3961181640625
293,1005.3961181640625
360,1005.3961181640625
428,1005.3961181640625
492,1005.3961181640625
560,1005.3964233398438
626,1005.3964233398438
693,1005.3964233398438
760,1005.3964233398438
828,1005.3964233398438
893,1005.3964233398438
960,1005.3964233398438
1027,1005.3964233398438
1093,1005.3964233398438
1160,1005.3964233398438
1227,1005.3964233398438
1293,1005.3964233398438
1360,1005.3964233398438
1427,1005.3964233398438
1493,1005.3982543945312
1560,1005.3982543945312
1628,1005.3982543945312
1693,1005.3982543945312
1760,1005.3982543945312
1829,1005.3982543945312
1893,1005.3982543945312
1959,1005.3982543945312
2026,1005.3982543945312
2093,1005.3982543945312
2160,1005.3982543945312
2228,1005.3982543945312
2292,1005.3982543945312
2360,1005.3982543945312
2428,1005.4019165039062
2492,1005.4019165039062
2560,1005.4019165039062
2630,1005.4019165039062
2693,1005.4019165039062
2760,1005.4019165039062
2827,1005.4019165039062
2893,1005.4019165039062
2959,1005.4019165039062
3028,1005.4019165039062
3093,1005.4019165039062
3159,1005.4019165039062
3228,1005.4019165039062
3293,1005.4019165039062
3360,1005.4031372070312
3427,1005.4031372070312
3492,1005.4031372070312
3560,1005.4031372070312
3627,1005.4031372070312
3693,1005.4031372070312
3759,1005.4031372070312
3827,1005.4031372070312
3893,1005.4031372070312
3960,1005.4031372070312
4028,1005.4031372070312
4093,1005.4031372070312
4159,1005.4031372070312
4228,1005.4031372070312
4292,1005.4031372070312
4360,1005.4031372070312
4428,1005.4031372070312
4492,1005.4031372070312
4560,1005.4031372070312
4628,1005.4031372070312
4693,1005.4031372070312
4760,1005.4031372070312
4826,1005.4031372070312
4893,1005.4031372070312
4960,1005.4031372070312
5028,1005.4031372070312
5093,1005.4031372070312
5160,1005.4031372070312
5228,1005.4006958007812
5293,1005.4006958007812
5359,1005.4006958007812
5428,1005.4006958007812
5492,1005.4006958007812
5560,1005.4006958007812
5633,1005.4006958007812
5692,1005.4006958007812
5760,1005.4006958007812
5827,1005.4006958007812
5893,1005.4006958007812
5960,1005.4006958007812
6026,1005.4006958007812
6093,1005.4006958007812
6160,1005.4006958007812
6228,1005.3975677490234
6293,1005.3975677490234
6360,1005.3975677490234
6428,1005.3975677490234
6493,1005.3975677490234
6560,1005.3975677490234
6633,1005.3975677490234
6692,1005.3975677490234
6760,1005.3975677490234
6827,1005.3975677490234
6892,1005.3975677490234
6960,1005.3975677490234
7027,1005.3975677490234
7093,1005.3975677490234
7160,1005.3936004638672
7226,1005.3936004638672
7293,1005.3936004638672
7360,1005.3936004638672
7427,1005.3936004638672
7492,1005.3936004638672
7560,1005.3936004638672
7629,1005.3936004638672
7692,1005.3936004638672
7760,1005.3936004638672
7828,1005.3936004638672
7892,1005.3936004638672
7960,1005.3936004638672
8026,1005.3936004638672
8093,1005.3897094726562
8160,1005.3897094726562
8227,1005.3897094726562
8293,1005.3897094726562
8360,1005.3897094726562
8427,1005.3897094726562
8493,1005.3897094726562
8560,1005.3897094726562
8628,1005.3897094726562
8693,1005.3897094726562
8760,1005.3897094726562
8833,1005.3897094726562
8892,1005.3897094726562
8960,1005.3897094726562
9027,1005.3839874267578
9093,1005.3839874267578
9160,1005.3839874267578
9227,1005.3839874267578
9293,1005.3839874267578
9360,1005.3839874267578
9426,1005.3839874267578
9493,1005.3839874267578
9560,1005.3839874267578
9627,1005.3839874267578
9693,1005.3839874267578
9760,1005.3839874267578
9826,1005.3839874267578
9892,1005.3839874267578
9960,1005.3788757324219
10028,1005.3788757324219
10092,1005.3788757324219
10160,1005.3788757324219
10227,1005.3788757324219
10293,1005.3788757324219
10360,1005.3788757324219
10427,1005.3788757324219
10493,1005.3788757324219
10560,1005.3788757324219
10627,1005.3788757324219
10693,1005.3788757324219
10760,1005.3788757324219
10828,1005.3788757324219
10893,1005.3788757324219
10960,1005.3788757324219
11028,1005.3788757324219
11092,1005.3788757324219
11160,1005.3788757324219
11227,1005.3788757324219
11293,1005.3788757324219
11359,1005.3788757324219
11427,1005.3788757324219
11493,1005.3788757324219
11559,1005.3788757324219
11626,1005.3788757324219
11693,1005.3788757324219
11760,1005.3788757324219
11826,1005.4024505615234
11893,1005.4024505615234
11959,1005.4024505615234
12028,1005.4024505615234
12093,1005.4024505615234
12160,1005.4024505615234
12228,1005.4024505615234
12292,1005.4024505615234
12359,1005.4024505615234
12428,1005.4024505615234
12492,1005.4024505615234
12559,1005.4024505615234
12628,1005.4024505615234
12693,1005.4024505615234
12759,1005.4585266113281
12826,1005.4585266113281
12893,1005.4585266113281
12960,1005.4585266113281
13027,1005.4585266113281
13093,1005.4585266113281
13159,1005.4585266113281
13228,1005.4585266113281
13293,1005.4585266113281
13359,1005.4585266113281
13427,1005.4585266113281
13492,1005.4585266113281
13560,1005.4585266113281
13627,1005.4585266113281
13693,1005.5671691894531
13760,1005.5671691894531
13827,1005.5671691894531
13893,1005.5671691894531
13960,1005.5671691894531
14027,1005.5671691894531
14093,1005.5671691894531
14160,1005.5671691894531
14227,1005.5671691894531
